"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"07.12.2023","10.146,00","10.225,40","10.246,70","10.113,90","210,70M","-1,09%"
"06.12.2023","10.258,10","10.266,10","10.301,30","10.229,70","134,30M","0,19%"
"05.12.2023","10.238,40","10.177,00","10.262,90","10.166,10","137,17M","0,59%"
"04.12.2023","10.178,30","10.139,10","10.201,70","10.135,80","105,50M","0,37%"
"01.12.2023","10.140,80","10.084,50","10.140,80","10.080,90","117,75M","0,82%"
"30.11.2023","10.058,20","10.082,40","10.103,80","10.053,80","252,84M","-0,04%"
"29.11.2023","10.062,60","10.027,70","10.097,90","10.018,40","129,37M","0,59%"
"28.11.2023","10.003,40","9.924,60","10.014,30","9.919,50","118,65M","0,68%"
"27.11.2023","9.936,10","9.925,90","9.983,90","9.925,80","112,10M","-0,03%"
"24.11.2023","9.939,00","9.907,90","9.957,30","9.901,90","93,31M","0,34%"
"23.11.2023","9.905,50","9.891,00","9.921,10","9.873,90","111,60M","0,18%"
"22.11.2023","9.887,40","9.853,40","9.897,20","9.847,10","125,07M","0,61%"
"21.11.2023","9.827,50","9.830,40","9.858,40","9.801,70","141,83M","-0,12%"
"20.11.2023","9.839,00","9.760,90","9.857,00","9.759,70","144,06M","0,79%"
"17.11.2023","9.761,40","9.696,80","9.774,70","9.693,60","249,66M","0,97%"
"16.11.2023","9.667,40","9.654,60","9.710,40","9.652,50","132,37M","0,28%"
"15.11.2023","9.640,70","9.634,50","9.684,90","9.604,00","161,16M","0,18%"
"14.11.2023","9.623,30","9.489,30","9.636,60","9.471,80","171,92M","1,71%"
"13.11.2023","9.461,70","9.415,90","9.463,30","9.401,00","142,30M","0,96%"
"10.11.2023","9.371,70","9.364,50","9.415,20","9.329,30","122,58M","-0,36%"
"09.11.2023","9.405,20","9.293,20","9.420,20","9.291,20","133,34M","1,31%"
"08.11.2023","9.283,80","9.203,60","9.326,50","9.200,30","146,54M","0,52%"
"07.11.2023","9.235,90","9.209,20","9.279,80","9.201,30","113,90M","-0,06%"
